sku,product_name,price_amount,price_currency
1,Steel outdoor dining table set,225,USD
2,Wood-fired pizza oven,250,USD
3,Funky gnome themed parasol,130,USD
4,Monstera deliciosa medium,30,USD
5,Monstera deliciosa large,50,USD
6,Sage seeds,5,USD
7,Banana tree,95,USD
8,Rubber tree,25,USD
9,Contemporary clay trough,60,USD
10,Pink heritage pot medium,40,USD
11,Blue heritage pot large,70,USD
12,White Roses seeds,4,USD
13,Red Roses seeds,4,USD
14,Luxury Gas-Powered BBQ,450,USD
15,Fire Pit Medium,80,USD
16,Fire Pit Large,120,USD
17,Basil seeds,3,USD
18,Oregano seeds,3,USD
19,Thyme seeds,3,USD
20,Bamboo,17,USD
21,Eucalyptus tree,54,USD
22,Lemon tree,75,USD
23,Lime tree,85,USD
24,Magnolia,99,USD
25,Azalea,79,USD
26,Mixed Rhododendron,150,USD
27,Ficus,65,USD
28,Fig tree,75,USD
29,Alocasia,30,USD
30,Poppy seeds,6,USD
31,Spider plant,25,USD
32,Bay tree,115,USD
33,Olive tree,20,USD
34,Peony,20,USD
35,Gerbera,20,USD
36,Peace lily,30,USD
37,Snake plant,30,USD
38,Money plant,25,USD
39,Pothos,15,USD
40,Aloe vera,24,USD
41,Calathea,34,USD
